0.28,0.53,10.08,-0.68,-2.47,-1.98
0.32,0.56,10.07,-0.50,-2.62,-2.12
0.31,0.56,10.09,-0.49,-2.29,-2.08
0.29,0.59,10.02,-0.62,-2.35,-2.13
0.30,0.53,10.09,-0.44,-2.20,-2.46
0.30,0.57,10.07,-0.45,-2.11,-2.30
0.30,0.54,10.06,-0.32,-2.35,-2.22
0.28,0.57,10.11,-0.61,-2.32,-2.38
0.31,0.55,10.10,-0.50,-2.32,-2.22
0.26,0.55,10.05,-0.73,-2.32,-2.42
0.29,0.56,10.09,-0.63,-2.58,-2.27
0.27,0.57,10.09,-0.57,-2.32,-2.19
0.31,0.57,10.07,-0.75,-2.38,-1.95
0.28,0.53,10.07,-0.53,-2.44,-2.24
0.29,0.54,10.09,-0.42,-2.10,-2.14
0.29,0.54,10.12,-0.32,-1.86,-2.31
0.27,0.53,10.06,-0.52,-2.26,-2.28
0.33,0.58,10.07,-0.51,-2.34,-2.21
0.28,0.56,10.10,-0.61,-2.39,-2.19
0.35,0.56,10.12,-0.48,-2.19,-2.21
0.28,0.54,10.03,-0.62,-2.27,-2.24
0.31,0.54,10.10,-0.45,-2.22,-1.90
0.28,0.54,10.11,-0.47,-2.35,-2.12
0.26,0.51,10.10,-0.27,-2.40,-2.20
0.28,0.57,10.04,-0.52,-2.08,-1.98
0.30,0.58,10.04,-0.40,-2.32,-2.40
0.29,0.55,10.08,-0.66,-2.22,-2.20
0.24,0.58,10.06,-0.51,-2.41,-2.22
0.30,0.53,10.09,-0.49,-2.35,-2.30
0.28,0.53,10.06,-0.45,-2.34,-2.20
0.32,0.53,10.10,-0.48,-2.58,-2.32
0.32,0.51,10.08,-0.41,-2.22,-2.10
0.26,0.55,10.03,-0.73,-2.36,-2.38
0.26,0.54,10.03,-0.25,-2.22,-2.49
0.28,0.58,10.12,-0.54,-2.22,-2.30
0.27,0.52,10.14,-0.65,-2.31,-2.30
0.28,0.57,10.09,-0.58,-2.07,-2.55
0.29,0.52,10.17,-0.20,-2.20,-2.14
0.28,0.57,10.12,-0.62,-2.30,-2.03
0.31,0.57,10.10,-0.68,-2.19,-2.15
0.30,0.51,10.10,-0.49,-2.32,-2.02
0.29,0.59,10.10,-0.32,-2.34,-2.22
0.30,0.53,10.06,-0.43,-2.31,-2.38
0.27,0.56,10.06,-0.52,-2.28,-2.27
0.28,0.54,10.13,-0.67,-2.35,-2.40
0.29,0.56,10.05,-0.62,-2.28,-2.35
0.28,0.56,10.11,-0.48,-2.45,-2.14
0.30,0.56,10.07,-0.53,-2.36,-2.34
0.28,0.57,10.07,-0.54,-2.21,-2.33
0.28,0.57,10.08,-0.48,-2.25,-2.30
0.30,0.57,10.05,-0.39,-2.38,-2.28
0.32,0.52,10.07,-0.62,-2.13,-2.19
0.28,0.56,10.10,-0.62,-2.35,-2.21
0.31,0.55,10.09,-0.49,-2.33,-2.30
0.29,0.54,10.10,-0.78,-2.64,-2.00
0.32,0.56,10.09,-0.75,-2.28,-2.18
0.28,0.55,10.03,-0.52,-2.34,-2.16
0.32,0.49,10.09,-0.63,-2.23,-2.27
0.28,0.56,10.01,-0.35,-2.43,-2.08
0.31,0.53,10.10,-0.62,-2.34,-2.24
0.30,0.57,10.15,-0.49,-2.30,-2.06
0.27,0.52,10.11,-0.57,-2.55,-2.17
0.33,0.53,10.09,-0.50,-2.44,-1.89
0.28,0.55,10.04,-0.58,-2.19,-2.14
0.27,0.53,10.09,-0.55,-2.46,-2.35
0.28,0.56,10.06,-0.48,-2.42,-2.40
0.28,0.54,10.08,-0.48,-2.61,-2.65
0.30,0.56,10.04,-0.43,-2.12,-2.22
0.30,0.57,10.11,-0.48,-2.28,-2.25
0.30,0.56,10.11,-0.58,-2.38,-2.42
0.27,0.52,10.11,-0.62,-2.62,-2.31
0.29,0.55,10.09,-0.35,-2.18,-2.14
0.32,0.58,10.08,-0.61,-2.56,-2.42
0.28,0.57,10.08,-0.46,-2.23,-2.29
0.29,0.55,10.09,-0.80,-2.27,-2.19
0.29,0.57,10.13,-0.48,-2.48,-2.05
0.30,0.50,10.06,-0.64,-2.16,-2.17
0.28,0.54,10.08,-0.47,-2.28,-2.32
0.28,0.56,10.10,-0.55,-2.27,-2.40
0.32,0.53,10.09,-0.42,-2.32,-2.02
0.25,0.51,10.09,-0.53,-2.25,-2.25
0.31,0.54,10.07,-0.69,-2.08,-2.40
0.30,0.56,10.09,-0.32,-2.55,-1.99
0.31,0.54,10.08,-0.59,-2.35,-2.36
0.30,0.56,10.06,-0.32,-2.03,-2.14
0.28,0.56,10.10,-0.61,-2.25,-2.19
0.30,0.56,10.13,-0.36,-2.26,-2.07
0.29,0.54,10.13,-0.69,-2.23,-2.02
0.30,0.55,10.07,-0.68,-2.24,-2.35
0.26,0.53,10.07,-0.56,-2.47,-2.27
0.29,0.58,10.07,-0.51,-2.54,-1.92
0.33,0.54,10.12,-0.54,-2.52,-2.14
0.28,0.56,10.06,-0.45,-2.28,-2.17
0.29,0.55,10.09,-0.51,-2.38,-2.22
0.29,0.53,10.09,-0.38,-2.61,-2.02
0.31,0.54,10.08,-0.56,-2.38,-2.18
0.30,0.54,10.07,-0.55,-2.28,-2.39
